id,cnpj,razaoSocial,nomeFantasia,endereco,cidade,estado,cep,telefone,email,logoUrl,site,grupoEmpresarial,isActive,createdAt,updatedAt,prefixoCodigo,nextCodigoInterno,numerosProibidos,deletedAt,deletedBy,deletedByUserId,inscricaoEstadual,inscricaoMunicipal,compartilha_recursos
450048,99.872.737/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:22:34,2026-02-24 10:22:35,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:22:35,,,,,0
450049,99.334.706/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 11:21:01,2026-02-24 11:21:02,EMP,3,"13,17,22,24,69,171,666",2026-02-24 11:21:02,,,,,0
450050,99.204.720/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 11:33:09,2026-02-24 11:33:10,EMP,3,"13,17,22,24,69,171,666",2026-02-24 11:33:10,,,,,0
450051,99.719.937/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 11:35:19,2026-02-24 11:35:20,EMP,3,"13,17,22,24,69,171,666",2026-02-24 11:35:20,,,,,0
480001,99.826.708/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 13:37:57,2026-02-24 13:37:58,EMP,3,"13,17,22,24,69,171,666",2026-02-24 13:37:58,,,,,0
480002,99.714.552/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 13:38:33,2026-02-24 13:38:34,EMP,3,"13,17,22,24,69,171,666",2026-02-24 13:38:34,,,,,0
480003,99.909.079/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 13:50:50,2026-02-24 13:50:56,EMP,3,"13,17,22,24,69,171,666",2026-02-24 13:50:56,,,,,0
480004,99.295.116/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 14:48:00,2026-02-24 14:48:01,EMP,3,"13,17,22,24,69,171,666",2026-02-24 14:48:01,,,,,0
480005,99.754.589/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 14:53:09,2026-02-24 14:53:10,EMP,3,"13,17,22,24,69,171,666",2026-02-24 14:53:10,,,,,0
480006,99.244.812/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 14:58:45,2026-02-24 14:58:46,EMP,3,"13,17,22,24,69,171,666",2026-02-24 14:58:46,,,,,0
480007,99.032.695/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 15:07:31,2026-02-24 15:07:32,EMP,3,"13,17,22,24,69,171,666",2026-02-24 15:07:32,,,,,0
510001,99.970.136/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 17:25:40,2026-02-24 17:25:41,EMP,3,"13,17,22,24,69,171,666",2026-02-24 17:25:41,,,,,0
510002,99.658.728/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 17:35:32,2026-02-24 17:35:33,EMP,3,"13,17,22,24,69,171,666",2026-02-24 17:35:33,,,,,0
510003,99.538.210/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 17:53:18,2026-02-24 17:53:19,EMP,3,"13,17,22,24,69,171,666",2026-02-24 17:53:19,,,,,0
540001,99.246.361/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 22:49:53,2026-02-24 22:49:54,EMP,3,"13,17,22,24,69,171,666",2026-02-24 22:49:54,,,,,0
540002,99.574.200/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 22:54:38,2026-02-24 22:54:39,EMP,3,"13,17,22,24,69,171,666",2026-02-24 22:54:39,,,,,0
570001,99.644.647/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 23:50:52,2026-02-24 23:50:54,EMP,3,"13,17,22,24,69,171,666",2026-02-24 23:50:54,,,,,0
570002,99.296.907/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 00:33:39,2026-02-25 00:33:40,EMP,3,"13,17,22,24,69,171,666",2026-02-25 00:33:40,,,,,0
600001,99.041.263/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 02:49:20,2026-02-25 02:49:20,EMP,3,"13,17,22,24,69,171,666",2026-02-25 02:49:20,,,,,0
600002,99.188.715/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 02:49:30,2026-02-25 02:49:30,EMP,3,"13,17,22,24,69,171,666",2026-02-25 02:49:30,,,,,0
600003,99.860.708/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 02:51:22,2026-02-25 02:51:23,EMP,3,"13,17,22,24,69,171,666",2026-02-25 02:51:23,,,,,0
630001,99.327.704/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 11:01:34,2026-02-25 11:01:35,EMP,3,"13,17,22,24,69,171,666",2026-02-25 11:01:35,,,,,0
630002,99.633.722/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 11:03:32,2026-02-25 11:03:33,EMP,3,"13,17,22,24,69,171,666",2026-02-25 11:03:33,,,,,0
630003,99.233.823/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 11:54:56,2026-02-25 11:54:57,EMP,3,"13,17,22,24,69,171,666",2026-02-25 11:54:57,,,,,0
630004,99.513.288/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 11:55:30,2026-02-25 11:55:31,EMP,3,"13,17,22,24,69,171,666",2026-02-25 11:55:31,,,,,0
630005,99.650.539/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 14:24:09,2026-02-25 14:24:10,EMP,3,"13,17,22,24,69,171,666",2026-02-25 14:24:10,,,,,0
660001,99.223.284/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 19:55:28,2026-02-25 19:55:29,EMP,3,"13,17,22,24,69,171,666",2026-02-25 19:55:29,,,,,0
660002,99.832.347/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 20:04:10,2026-02-25 20:04:11,EMP,3,"13,17,22,24,69,171,666",2026-02-25 20:04:11,,,,,0
660003,99.449.148/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 20:25:48,2026-02-25 20:25:49,EMP,3,"13,17,22,24,69,171,666",2026-02-25 20:25:49,,,,,0
660004,99.134.668/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 20:46:19,2026-02-25 20:46:19,EMP,3,"13,17,22,24,69,171,666",2026-02-25 20:46:19,,,,,0
660005,99.736.102/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 21:14:29,2026-02-25 21:14:30,EMP,3,"13,17,22,24,69,171,666",2026-02-25 21:14:30,,,,,0
660006,99.866.523/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 21:19:23,2026-02-25 21:19:24,EMP,3,"13,17,22,24,69,171,666",2026-02-25 21:19:24,,,,,0
660007,99.013.821/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 21:26:48,2026-02-25 21:26:48,EMP,3,"13,17,22,24,69,171,666",2026-02-25 21:26:48,,,,,0
690001,99.390.543/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 21:58:51,2026-02-25 21:58:52,EMP,3,"13,17,22,24,69,171,666",2026-02-25 21:58:52,,,,,0
720001,99.426.828/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 22:26:12,2026-02-25 22:26:13,EMP,3,"13,17,22,24,69,171,666",2026-02-25 22:26:13,,,,,0
720002,99.269.070/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 22:39:40,2026-02-25 22:39:41,EMP,3,"13,17,22,24,69,171,666",2026-02-25 22:39:41,,,,,0
720003,99.134.488/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 22:40:41,2026-02-25 22:40:42,EMP,3,"13,17,22,24,69,171,666",2026-02-25 22:40:42,,,,,0
750001,99.175.146/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:08:30,2026-02-25 23:08:31,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:08:31,,,,,0
750002,99.595.856/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:08:47,2026-02-25 23:08:48,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:08:48,,,,,0
750003,99.014.221/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:09:01,2026-02-25 23:09:01,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:09:01,,,,,0
750004,99.429.059/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:09:14,2026-02-25 23:09:15,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:09:15,,,,,0
750005,99.999.108/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:09:27,2026-02-25 23:09:27,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:09:27,,,,,0
750006,99.863.706/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:09:41,2026-02-25 23:09:42,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:09:42,,,,,0
750007,99.508.545/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:09:54,2026-02-25 23:09:55,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:09:55,,,,,0
750008,99.470.866/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:10:08,2026-02-25 23:10:09,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:10:09,,,,,0
780001,99.082.590/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-25 23:36:35,2026-02-25 23:36:36,EMP,3,"13,17,22,24,69,171,666",2026-02-25 23:36:36,,,,,0
810001,99.166.269/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 00:24:33,2026-02-26 00:24:34,EMP,3,"13,17,22,24,69,171,666",2026-02-26 00:24:34,,,,,0
810002,99.003.311/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 00:24:53,2026-02-26 00:24:53,EMP,3,"13,17,22,24,69,171,666",2026-02-26 00:24:53,,,,,0
810003,99.654.472/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 00:25:07,2026-02-26 00:25:08,EMP,3,"13,17,22,24,69,171,666",2026-02-26 00:25:08,,,,,0
810004,99.021.676/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 00:25:24,2026-02-26 00:25:25,EMP,3,"13,17,22,24,69,171,666",2026-02-26 00:25:25,,,,,0
840001,99.103.729/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 02:35:15,2026-02-26 02:35:16,EMP,3,"13,17,22,24,69,171,666",2026-02-26 02:35:16,,,,,0
840002,99.938.682/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 02:36:12,2026-02-26 02:36:12,EMP,3,"13,17,22,24,69,171,666",2026-02-26 02:36:12,,,,,0
840003,99.816.321/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 02:53:54,2026-02-26 02:53:54,EMP,3,"13,17,22,24,69,171,666",2026-02-26 02:53:54,,,,,0
870001,99.606.070/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 09:19:51,2026-02-26 09:19:52,EMP,3,"13,17,22,24,69,171,666",2026-02-26 09:19:52,,,,,0
870002,99.541.032/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 09:19:56,2026-02-26 09:19:57,EMP,3,"13,17,22,24,69,171,666",2026-02-26 09:19:57,,,,,0
900001,99.869.443/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 09:53:36,2026-02-26 09:53:37,EMP,3,"13,17,22,24,69,171,666",2026-02-26 09:53:37,,,,,0
900002,99.220.164/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 09:54:15,2026-02-26 09:54:16,EMP,3,"13,17,22,24,69,171,666",2026-02-26 09:54:16,,,,,0
900003,99.970.165/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 09:54:40,2026-02-26 09:54:40,EMP,3,"13,17,22,24,69,171,666",2026-02-26 09:54:40,,,,,0
900004,99.205.348/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 09:54:55,2026-02-26 09:54:56,EMP,3,"13,17,22,24,69,171,666",2026-02-26 09:54:56,,,,,0
930001,99.517.305/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 10:18:15,2026-02-26 10:18:16,EMP,3,"13,17,22,24,69,171,666",2026-02-26 10:18:16,,,,,0
960001,99.630.948/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 11:55:42,2026-02-26 11:55:44,EMP,3,"13,17,22,24,69,171,666",2026-02-26 11:55:44,,,,,0
960002,99.914.066/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 12:13:48,2026-02-26 12:13:48,EMP,3,"13,17,22,24,69,171,666",2026-02-26 12:13:48,,,,,0
960003,99.854.473/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-26 12:52:32,2026-02-26 12:52:32,EMP,3,"13,17,22,24,69,171,666",2026-02-26 12:52:32,,,,,0
990001,99.823.877/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 16:02:40,2026-02-27 16:02:41,EMP,3,"13,17,22,24,69,171,666",2026-02-27 16:02:41,,,,,0
990002,99.482.363/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 16:02:59,2026-02-27 16:03:00,EMP,3,"13,17,22,24,69,171,666",2026-02-27 16:03:00,,,,,0
1020001,99.037.936/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 18:06:00,2026-02-27 18:06:01,EMP,3,"13,17,22,24,69,171,666",2026-02-27 18:06:01,,,,,0
1020002,99.912.264/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 18:06:32,2026-02-27 18:06:32,EMP,3,"13,17,22,24,69,171,666",2026-02-27 18:06:32,,,,,0
1020003,99.528.314/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 18:25:09,2026-02-27 18:25:10,EMP,3,"13,17,22,24,69,171,666",2026-02-27 18:25:10,,,,,0
1020004,99.808.932/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 18:30:04,2026-02-27 18:30:05,EMP,3,"13,17,22,24,69,171,666",2026-02-27 18:30:05,,,,,0
1020005,99.909.070/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 18:37:04,2026-02-27 18:37:05,EMP,3,"13,17,22,24,69,171,666",2026-02-27 18:37:05,,,,,0
1020006,99.652.429/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 18:52:02,2026-02-27 18:52:03,EMP,3,"13,17,22,24,69,171,666",2026-02-27 18:52:03,,,,,0
1020007,99.996.111/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-27 19:01:06,2026-02-27 19:01:06,EMP,3,"13,17,22,24,69,171,666",2026-02-27 19:01:06,,,,,0
1050001,99.985.726/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-28 08:45:01,2026-02-28 08:45:02,EMP,3,"13,17,22,24,69,171,666",2026-02-28 08:45:02,,,,,0
1050002,99.957.546/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-28 08:45:48,2026-02-28 08:45:48,EMP,3,"13,17,22,24,69,171,666",2026-02-28 08:45:48,,,,,0
1050003,99.138.708/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-28 08:46:22,2026-02-28 08:46:23,EMP,3,"13,17,22,24,69,171,666",2026-02-28 08:46:23,,,,,0
1050004,99.078.989/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-28 08:47:19,2026-02-28 08:47:19,EMP,3,"13,17,22,24,69,171,666",2026-02-28 08:47:19,,,,,0
